Function,InitDistanceToFlag,BotType,ShotsTaken,Put,DistanceAfterFirstShot,FinalDistance,CalculationTimeAveragePerShot
0.0034847384158976326 * sin ( -9.741971141665772E-4 * x ^ 2 ) ^ 2 + 0.005913247814606566 * x ^ 2 + 10,2.0964157594292168,BasicAI,10,false,8.894215493204975,8.950050789536016,17430.0
0.0034847384158976326 * sin ( -9.741971141665772E-4 * x ^ 2 ) ^ 2 + 0.005913247814606566 * x ^ 2 + 10,2.0964157594292168,NewAI,10,false,8.899832705542035,8.894279635543665,384060.0
0.0034847384158976326 * sin ( -9.741971141665772E-4 * x ^ 2 ) ^ 2 + 0.005913247814606566 * x ^ 2 + 10,2.0964157594292168,Random,10,false,6422073.048486317,1.1614158128454936E16,10240.0
0.00975068679480512 * tanh ( -0.009324848872180635 * y ^ 3 ) ^ 2 + 9.124165085453173E-4 * y ^ 3 + 10,11.170696259640648,BasicAI,10,false,6.183979481156892,5.672797457129174,16910.0
0.00975068679480512 * tanh ( -0.009324848872180635 * y ^ 3 ) ^ 2 + 9.124165085453173E-4 * y ^ 3 + 10,11.170696259640648,NewAI,10,false,5.6306455518396525,5.630314299951477,728970.0
0.00975068679480512 * tanh ( -0.009324848872180635 * y ^ 3 ) ^ 2 + 9.124165085453173E-4 * y ^ 3 + 10,11.170696259640648,Random,10,false,11.170696259640648,11.170696259640648,4630.0
0.002077768666256892 * y ^ 2 ^ 4 + -0.0021278610901661566 * x ^ 1 - 0.006827125304942833 * x ^ 2 + 10,4.601541740230362,BasicAI,10,false,NaN,NaN,23460.0
0.002077768666256892 * y ^ 2 ^ 4 + -0.0021278610901661566 * x ^ 1 - 0.006827125304942833 * x ^ 2 + 10,4.601541740230362,NewAI,10,false,NaN,NaN,488000.0
0.002077768666256892 * y ^ 2 ^ 4 + -0.0021278610901661566 * x ^ 1 - 0.006827125304942833 * x ^ 2 + 10,4.601541740230362,Random,10,false,NaN,NaN,6630.0
0.007092461521750127 * tanh ( -0.0016036100322099377 * x ^ 1 ) - -0.007049681648858037 * y ^ 4 + -0.007095346303268152 * x ^ 2 + 10,14.581269598932685,BasicAI,10,false,1.7219286041478877E34,1.7219286041478877E34,8600.0
0.007092461521750127 * tanh ( -0.0016036100322099377 * x ^ 1 ) - -0.007049681648858037 * y ^ 4 + -0.007095346303268152 * x ^ 2 + 10,14.581269598932685,NewAI,10,false,14.581269598932685,14.581269598932685,586620.0
0.007092461521750127 * tanh ( -0.0016036100322099377 * x ^ 1 ) - -0.007049681648858037 * y ^ 4 + -0.007095346303268152 * x ^ 2 + 10,14.581269598932685,Random,10,false,14.581269598932685,2.5865741422856773E38,5200.0
0.008847947671853318 * x ^ 1 - 0.004670135980548072 * x ^ 1 ^ 3 + 0.005858537447734187 * tan ( -5.945225114178176E-4 * x ^ 1 ) + 10,2.595955758596975,BasicAI,10,false,2.0778082262431563,3.396855538921334,13930.0
0.008847947671853318 * x ^ 1 - 0.004670135980548072 * x ^ 1 ^ 3 + 0.005858537447734187 * tan ( -5.945225114178176E-4 * x ^ 1 ) + 10,2.595955758596975,NewAI,10,false,2.022396815095088,4.071726429202431,608030.0
0.008847947671853318 * x ^ 1 - 0.004670135980548072 * x ^ 1 ^ 3 + 0.005858537447734187 * tan ( -5.945225114178176E-4 * x ^ 1 ) + 10,2.595955758596975,Random,10,false,2.595955758596975,4.531983674606987E10,4540.0
0.008751020581068249 * atan ( 0.00457253881367656 * x ^ 2 ) ^ 3 + 0.005631487228662065 * y ^ 2 + 0.0029294113964254487 * x ^ 1 + 10,17.465116651489158,BasicAI,10,false,5.9043464983750775,3.604306322637613,10480.0
0.008751020581068249 * atan ( 0.00457253881367656 * x ^ 2 ) ^ 3 + 0.005631487228662065 * y ^ 2 + 0.0029294113964254487 * x ^ 1 + 10,17.465116651489158,NewAI,10,false,2.7629025446361513,2.873162414858657,499880.0
0.008751020581068249 * atan ( 0.00457253881367656 * x ^ 2 ) ^ 3 + 0.005631487228662065 * y ^ 2 + 0.0029294113964254487 * x ^ 1 + 10,17.465116651489158,Random,10,false,17.465116651489158,1.0327248030508382E16,6390.0
0.00576853187401941 * y ^ 2 ^ 2 + 0.0016502722414181404 * sin ( -0.009164997346639597 * y ^ 1 ) ^ 2 + -0.008170882583505902 * y ^ 1 + 10,3.8451547083700297,BasicAI,10,false,7.4448744952791595,5.960774170177363,8210.0
0.00576853187401941 * y ^ 2 ^ 2 + 0.0016502722414181404 * sin ( -0.009164997346639597 * y ^ 1 ) ^ 2 + -0.008170882583505902 * y ^ 1 + 10,3.8451547083700297,NewAI,10,false,5.92762513871612,5.935624211167584,589560.0
0.00576853187401941 * y ^ 2 ^ 2 + 0.0016502722414181404 * sin ( -0.009164997346639597 * y ^ 1 ) ^ 2 + -0.008170882583505902 * y ^ 1 + 10,3.8451547083700297,Random,10,false,4.953305338767267E30,4.953305338767267E30,7720.0
0.003693807912549972 * cosh ( -0.004365396499011743 * y ^ 1 * 0.002993991527338736 * x ^ 1 ) + 10,6.902725980598854,BasicAI,3,true,1.5887641758769913,0.0037802845953346354,57400.0
0.003693807912549972 * cosh ( -0.004365396499011743 * y ^ 1 * 0.002993991527338736 * x ^ 1 ) + 10,6.902725980598854,NewAI,2,true,0.05115479788433681,0.0018041328096444916,1333100.0
0.003693807912549972 * cosh ( -0.004365396499011743 * y ^ 1 * 0.002993991527338736 * x ^ 1 ) + 10,6.902725980598854,Random,10,false,NaN,NaN,9040.0
0.007468481040387869 * tanh ( 4.165079151315043E-4 * y ^ 1 ^ 3 + 0.00688738697515866 * y ^ 3 + 0.005891756411226974 * x ^ 4 ) + 10,10.590690625979178,BasicAI,3,true,2.7731448024629453,0.015690889747757904,14733.333333333334
0.007468481040387869 * tanh ( 4.165079151315043E-4 * y ^ 1 ^ 3 + 0.00688738697515866 * y ^ 3 + 0.005891756411226974 * x ^ 4 ) + 10,10.590690625979178,NewAI,2,true,0.058680383933344335,0.0019263696433090948,751850.0
0.007468481040387869 * tanh ( 4.165079151315043E-4 * y ^ 1 ^ 3 + 0.00688738697515866 * y ^ 3 + 0.005891756411226974 * x ^ 4 ) + 10,10.590690625979178,Random,10,false,9222112.294468788,3.8556870607887246E7,8040.0
0.008574354487323039 * sinh ( -0.006431649244426257 * y ^ 2 + 0.009674366897002807 * x ^ 3 * 0.007072592278893303 * x ^ 1 ) ^ 2 + 4.926546746395566E-4 * y ^ 2 + 10,5.494438614699784,BasicAI,10,false,1.905856617441793,1.645348411591842,21290.0
0.008574354487323039 * sinh ( -0.006431649244426257 * y ^ 2 + 0.009674366897002807 * x ^ 3 * 0.007072592278893303 * x ^ 1 ) ^ 2 + 4.926546746395566E-4 * y ^ 2 + 10,5.494438614699784,NewAI,10,false,0.9829075560221927,1.6368988495009522,833570.0
0.008574354487323039 * sinh ( -0.006431649244426257 * y ^ 2 + 0.009674366897002807 * x ^ 3 * 0.007072592278893303 * x ^ 1 ) ^ 2 + 4.926546746395566E-4 * y ^ 2 + 10,5.494438614699784,Random,10,false,NaN,NaN,8450.0
0.005933664877852622 * sin ( -0.006023358943067007 * x ^ 3 ) - -0.005278095156846915 * x ^ 1 + 10,13.832621179362151,BasicAI,10,false,4.868731516748149,4.9763951409995695,10220.0
0.005933664877852622 * sin ( -0.006023358943067007 * x ^ 3 ) - -0.005278095156846915 * x ^ 1 + 10,13.832621179362151,NewAI,10,false,2.412233782975662,4.757106020524283,407280.0
