Function,InitDistanceToFlag,BotType,ShotsTaken,Put,DistanceAfterFirstShot,FinalDistance,CalculationTimeAveragePerShot
0.004824510202752348 * cosh ( -1.761327386084255E-4 * y ^ 2 ) + 0.0011285192660778444 * y ^ 3 - 0.007771641840758749 * y ^ 1 + 10,6.139965675430106,NewAI,10,false,0.7302283512300141,0.7310392264628748,19210.0
0.004824510202752348 * cosh ( -1.761327386084255E-4 * y ^ 2 ) + 0.0011285192660778444 * y ^ 3 - 0.007771641840758749 * y ^ 1 + 10,6.139965675430106,Random,10,false,6.139965675430106,NaN,4900.0
0.006504445637600167 * cosh ( -9.396120632556026E-4 * y ^ 1 - 0.009377131321036618 * x ^ 3 ) + 10,7.874688617777484,BasicAI,10,false,4.20076691234924,3.887296353544878,10400.0
0.006504445637600167 * cosh ( -9.396120632556026E-4 * y ^ 1 - 0.009377131321036618 * x ^ 3 ) + 10,7.874688617777484,NewAI,10,false,4.1922607516430235,4.132495904275436,21160.0
0.006504445637600167 * cosh ( -9.396120632556026E-4 * y ^ 1 - 0.009377131321036618 * x ^ 3 ) + 10,7.874688617777484,Random,10,false,NaN,NaN,7680.0
0.003942987282616226 * y ^ 1 ^ 2 + 0.001975143588504583 * y ^ 1 - 6.148427682214497E-4 * log ( 0.006973007001141219 * y ^ 4 ) + 10,13.422930579320216,BasicAI,10,false,2.1328186668316347,5.247950178543187,14510.0
0.003942987282616226 * y ^ 1 ^ 2 + 0.001975143588504583 * y ^ 1 - 6.148427682214497E-4 * log ( 0.006973007001141219 * y ^ 4 ) + 10,13.422930579320216,NewAI,10,false,1.0242759231833625,6.837237276237776,20580.0
0.003942987282616226 * y ^ 1 ^ 2 + 0.001975143588504583 * y ^ 1 - 6.148427682214497E-4 * log ( 0.006973007001141219 * y ^ 4 ) + 10,13.422930579320216,Random,10,false,1150785.426911639,9.815722497581334E7,9130.0
0.0026060057914661415 * cosh ( 0.009350810019137172 * x ^ 2 ) ^ 2 + 0.008573257023934073 * y ^ 3 + 10,15.878953706665227,BasicAI,10,false,15.878953706665227,15.878953706665227,6070.0
0.0026060057914661415 * cosh ( 0.009350810019137172 * x ^ 2 ) ^ 2 + 0.008573257023934073 * y ^ 3 + 10,15.878953706665227,NewAI,10,false,15.878953706665227,15.878953706665227,17660.0
0.0026060057914661415 * cosh ( 0.009350810019137172 * x ^ 2 ) ^ 2 + 0.008573257023934073 * y ^ 3 + 10,15.878953706665227,Random,10,false,NaN,NaN,8280.0
0.007591180315643637 * atan ( 0.008860968867844175 * y ^ 2 ) * 0.006276127789722981 * y ^ 1 - -0.002854297492888196 * x ^ 1 + 10,20.101907436888325,BasicAI,10,false,3.4198183775076565,1.8243466150829166,19270.0
